# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Sirius,6.752481,-16.716116,-1.440,0.009
Canopus,6.399195,-52.695660,-0.620,0.164
Arcturus,14.261030,19.182410,-0.050,1.239
Rigil Kentaurus,14.660765,-60.833976,-0.010,0.710
Vega,18.615640,38.783692,0.030,-0.001
Capella,5.278150,45.997991,0.080,0.795
Rigel,5.242298,-8.201640,0.180,-0.030
Procyon,7.655033,5.224993,0.400,0.432
Achernar,1.628556,-57.236757,0.450,-0.158
Betelgeuse,5.919529,7.407063,0.450,1.500
Hadar,14.063729,-60.373039,0.610,-0.231
Altair,19.846388,8.868322,0.760,0.221
Acrux,12.443311,-63.099092,0.770,-0.243
Aldebaran,4.598677,16.509301,0.870,1.538
HD,5.277926,46.000842,0.960,0.650
Spica,13.419883,-11.161322,0.980,-0.235
Antares,16.490128,-26.432002,1.060,1.865
Pollux,7.755277,28.026199,1.160,0.991
Fomalhaut,22.960838,-29.622236,1.170,0.145
Mimosa,12.795359,-59.688764,1.250,-0.238
Deneb,20.690532,45.280338,1.250,0.092
Toliman,14.660346,-60.838300,1.350,0.900
Regulus,10.139532,11.967207,1.360,-0.087
Adhara,6.977097,-28.972084,1.500,-0.211
Castor,7.576634,31.888276,1.580,0.034
Gacrux,12.519429,-57.113212,1.590,1.600
Shaula,17.560145,-37.103821,1.620,-0.231
Bellatrix,5.418851,6.349702,1.640,-0.224
Elnath,5.438198,28.607450,1.650,-0.130
Miaplacidus,9.220041,-69.717208,1.670,0.070
Alnilam,5.603559,-1.201920,1.690,-0.184
Alnair,22.137209,-46.960975,1.730,-0.070
Alnitak,5.679313,-1.942572,1.740,-0.199
Gam-2 Vel,8.158876,-47.336588,1.750,-0.145
Alioth,12.900472,55.959821,1.760,-0.022
Mirfak,3.405378,49.861180,1.790,0.481
Kaus Australis,18.402868,-34.384616,1.790,-0.031
Dubhe,11.062155,61.751033,1.810,1.061
Wezen,7.139857,-26.393200,1.830,0.671
Alkaid,13.792354,49.313265,1.850,-0.099
Avior,8.375236,-59.509483,1.860,1.196
Sargas,17.621980,-42.997824,1.860,0.406
Menkalinan,5.992149,44.947433,1.900,0.077
Atria,16.811077,-69.027715,1.910,1.447
Alhena,6.628528,16.399252,1.930,0.001
Alsephina,8.745059,-54.708821,1.930,0.043
Peacock,20.427459,-56.735090,1.940,-0.118
Polaris,2.529750,89.264109,1.970,0.636
Mirzam,6.378329,-17.955918,1.980,-0.240
Alphard,9.459790,-8.658603,1.990,1.440
Hamal,2.119555,23.462423,2.010,1.151
Algieba,10.332873,19.841489,2.010,1.128
Diphda,0.726490,-17.986605,2.040,1.019
Nunki,18.921090,-26.296722,2.050,-0.134
Menkent,14.111395,-36.369954,2.060,1.011
Alpheratz,0.139791,29.090432,2.070,-0.038
Mirach,1.162194,35.620558,2.070,1.576
Saiph,5.795941,-9.669605,2.070,-0.168
Kochab,14.845105,74.155505,2.070,1.465
Tiaki,22.711115,-46.884577,2.070,1.610
Rasalhague,17.582241,12.560035,2.080,0.155
Algol,3.136148,40.955648,2.090,-0.003
Almach,2.064984,42.329725,2.100,1.370
Denebola,11.817663,14.572060,2.140,0.090
Cih,0.945143,60.716740,2.150,-0.046
Gam Cen,12.691971,-48.959888,2.200,-0.023
Naos,8.059737,-40.003148,2.210,-0.269
Aspidiske,9.284838,-59.275229,2.210,0.189
Alphecca,15.578128,26.714693,2.220,0.032
Suhail,9.133268,-43.432589,2.230,1.665
Mizar,13.398747,54.925362,2.230,0.057
